dish_id,ingredient_id,qty,recipe_unit
00000000-0000-0000-0001-000000000001,00000000-0000-0000-0000-000000000001,12.0,oz
00000000-0000-0000-0001-000000000001,00000000-0000-0000-0000-000000000004,3.0,oz
00000000-0000-0000-0001-000000000001,00000000-0000-0000-0000-000000000013,8.0,fl oz
00000000-0000-0000-0001-000000000001,00000000-0000-0000-0000-000000000018,1.0,oz
00000000-0000-0000-0001-000000000001,00000000-0000-0000-0000-000000000019,2.0,each
00000000-0000-0000-0001-000000000002,00000000-0000-0000-0000-000000000002,7.0,oz
00000000-0000-0000-0001-000000000002,00000000-0000-0000-0000-000000000018,1.5,oz
00000000-0000-0000-0001-000000000002,00000000-0000-0000-0000-000000000017,4.0,oz
00000000-0000-0000-0001-000000000002,00000000-0000-0000-0000-000000000020,0.5,fl oz
00000000-0000-0000-0001-000000000003,00000000-0000-0000-0000-000000000003,10.0,oz
00000000-0000-0000-0001-000000000003,00000000-0000-0000-0000-000000000018,1.0,oz
00000000-0000-0000-0001-000000000003,00000000-0000-0000-0000-000000000017,5.0,oz
00000000-0000-0000-0001-000000000003,00000000-0000-0000-0000-000000000013,4.0,fl oz
00000000-0000-0000-0001-000000000004,00000000-0000-0000-0000-000000000004,4.0,oz
00000000-0000-0000-0001-000000000004,00000000-0000-0000-0000-000000000005,5.0,oz
00000000-0000-0000-0001-000000000004,00000000-0000-0000-0000-000000000011,1.0,oz
00000000-0000-0000-0001-000000000004,00000000-0000-0000-0000-000000000012,2.0,fl oz
00000000-0000-0000-0001-000000000004,00000000-0000-0000-0000-000000000013,10.0,fl oz
00000000-0000-0000-0001-000000000004,00000000-0000-0000-0000-000000000018,1.5,oz
00000000-0000-0000-0001-000000000005,00000000-0000-0000-0000-000000000006,5.0,oz
00000000-0000-0000-0001-000000000005,00000000-0000-0000-0000-000000000011,0.75,oz
00000000-0000-0000-0001-000000000005,00000000-0000-0000-0000-000000000020,1.0,fl oz
00000000-0000-0000-0001-000000000005,00000000-0000-0000-0000-000000000019,1.0,each
00000000-0000-0000-0001-000000000006,00000000-0000-0000-0000-000000000007,8.0,oz
00000000-0000-0000-0001-000000000006,00000000-0000-0000-0000-000000000014,1.0,each
00000000-0000-0000-0001-000000000006,00000000-0000-0000-0000-000000000017,2.0,oz
00000000-0000-0000-0001-000000000007,00000000-0000-0000-0000-000000000008,14.0,oz
00000000-0000-0000-0001-000000000007,00000000-0000-0000-0000-000000000018,1.5,oz
00000000-0000-0000-0001-000000000007,00000000-0000-0000-0000-000000000017,5.0,oz
00000000-0000-0000-0001-000000000008,00000000-0000-0000-0000-000000000009,3.0,oz
00000000-0000-0000-0001-000000000008,00000000-0000-0000-0000-000000000007,5.0,oz
00000000-0000-0000-0001-000000000008,00000000-0000-0000-0000-000000000019,2.0,each
00000000-0000-0000-0001-000000000008,00000000-0000-0000-0000-000000000018,0.5,oz
00000000-0000-0000-0001-000000000009,00000000-0000-0000-0000-000000000010,12.0,oz
00000000-0000-0000-0001-000000000009,00000000-0000-0000-0000-000000000017,4.0,oz
00000000-0000-0000-0001-000000000009,00000000-0000-0000-0000-000000000018,1.0,oz
00000000-0000-0000-0001-000000000010,00000000-0000-0000-0000-000000000016,8.0,oz
00000000-0000-0000-0001-000000000010,00000000-0000-0000-0000-000000000018,2.0,oz
00000000-0000-0000-0001-000000000010,00000000-0000-0000-0000-000000000017,4.0,oz
00000000-0000-0000-0001-000000000011,00000000-0000-0000-0000-000000000015,4.0,oz
00000000-0000-0000-0001-000000000011,00000000-0000-0000-0000-000000000020,0.5,fl oz
